fn,ln,mi,gender,sg,salary,dept,hiredate,termdate
"Abigail","CHANG","","F",6,"3X412938","acc","8/24/2015","" 
"Brittany","KLEIN","P","F",3,"67162","hr","1/1/2017","" 
"Rose","SALINAS","","F",7,"3X550391","fin","2/11/2011","" 
"Diana","FUENTES","F","F",3,"88594","pub","11/29/2017","" 
"Natalie","BALDWIN","G","F",7,"3X558595","acc","12/5/2004","" 
"Sophia","DANIEL","G","F",6,"3X406868","comp","4/28/2005","" 
"Alexis","SIMON","W","F",2,"56254","acc","11/26/2018","" 
"Lori","VELASQUEZ","J","F",4,"93364","fin","10/28/2016","" 
"Kayla","HARDY","","F",2,"55624","I.T.","2/5/2016","" 
"Jane","HIGGINS","","F",7,"3X535835","pub","8/9/2003","" 
"James","AGUIRRE","","M",3,"79153","proj","10/17/2016","" 
"John","LIN","","M",7,"3X502785","fin","11/4/2014","" 
"Robert","CUMMINGS","","M",2,"62219","I.T.","6/2/2017","" 
"Michael","CHANDLER","P","M",2,"61921","fin","5/19/2015","" 
"William","SHARP","W","M",7,"3X544904","I.T.","8/16/2015","" 
"David","BARBER","G","M",7,"3X634622","proj","5/17/2013","" 
"Richard","BOWEN","","M",4,"116427","acc","2/24/2013","" 
"Joseph","OCHOA","G","M",3,"71872","hr","3/18/2017","" 
"Thomas","DENNIS","F","M",6,"3X412931","acc","1/7/2012","" 
"Charles","ROBBINS","F","M",4,"118341","comp","12/13/2010","" 
"Christopher","LIU","A","M",1,"35202","comp","1/10/2018","" 
"Daniel","RAMSEY","G","M",4,"124056","fin","12/21/2016","" 
"Matthew","FRANCIS","","M",3,"96430","I.T.","10/11/2015","" 
"Anthony","GRIFFITH","G","M",3,"84719","I.T.","12/5/2015","" 
"Donald","PAUL","A","M",2,"65796","fin","6/22/2015","" 
"Mark","BLAIR","","M",3,"75879","pub","6/14/2016","8/5/2017" 
"Paul","OCONNOR","W","M",4,"119862","hr","8/18/2017","" 
"Steven","CARDENAS","","M",1,"35482","I.T.","1/11/2016","" 
"Andrew","PACHECO","P","M",1,"23494","I.T.","12/9/2014","" 
"Kenneth","CROSS","J","M",4,"106321","hr","1/11/2015","" 
"Joshua","CALDERON","","M",4,"104722","proj","5/22/2014","" 
"George","QUINN","G","M",5,"143094","fin","10/9/2016","" 
"Kevin","MOSS","J","M",3,"92789","comp","1/20/2017","" 
"Brian","SWANSON","J","M",7,"3X541840","I.T.","8/9/2010","" 
"Edward","CHAN","","M",1,"32513","pub","8/7/2017","" 
"Ronald","RIVAS","","M",7,"3X532237","acc","8/20/2015","" 
"Timothy","KHAN","G","M",1,"34279","hr","10/19/2017","" 
"Jason","RODGERS","","M",1,"26251","acc","12/29/2016","" 
"Jeffrey","SERRANO","J","M",3,"92572","fin","11/22/2018","12/2/2019" 
"Ryan","FITZGERALD","","M",5,"147559","proj","5/3/2017","" 
"Jacob","ROSALES","","M",2,"54720","pub","10/13/2018","" 
"Gary","STEVENSON","W","M",5,"143465","I.T.","1/8/2012","6/8/2013" 
"Nicholas","CHRISTENSEN","","M",4,"112404","acc","5/26/2012","" 
"Eric","MANNING","","M",7,"3X518654","I.T.","12/5/2006","" 
"Stephen","GILL","P","M",1,"39187","fin","12/26/2015","" 
"Jonathan","CURRY","F","M",1,"40348","pub","7/6/2018","" 
"Larry","MCLAUGHLIN","","M",3,"94514","I.T.","5/28/2016","" 
"Justin","HARMON","F","M",2,"52082","fin","10/6/2016","" 
"Scott","MCGEE","","M",2,"58053","fin","3/1/2016","" 
"Brandon","GROSS","F","M",2,"43744","pub","9/18/2017","" 
"Frank","DOYLE","G","M",7,"3X649176","fin","8/11/2008","" 
"Benjamin","GARNER","W","M",4,"114521","comp","9/17/2011","" 
"Gregory","NEWTON","W","M",2,"44802","hr","2/19/2016","9/9/2017" 
"Samuel","BURGESS","","M",4,"104032","fin","5/28/2016","" 
"Raymond","REESE","G","M",7,"3X651031","acc","9/2/2012","" 
"Patrick","WALTON","","M",5,"122498","comp","2/29/2016","" 
"Alexander","BLAKE","","M",7,"3X532466","hr","10/25/2007","" 
"Jack","TRUJILLO","","M",7,"3X699193","I.T.","1/21/2006","" 
"Dennis","ADKINS","","M",4,"111088","I.T.","5/1/2017","" 
"Jerry","BRADY","J","M",4,"97126","fin","9/14/2017","2/27/2019" 
"Tyler","GOODMAN","P","M",3,"93310","fin","6/19/2018","" 
"Aaron","ROMAN","","M",7,"3X695661","I.T.","10/19/2015","1/15/2019" 
"Jose","WEBSTER","J","M",3,"84499","proj","6/1/2016","" 
"Henry","GOODWIN","A","M",1,"33148","acc","8/13/2017","" 
"Douglas","FISCHER","A","M",6,"3X422733","I.T.","1/4/2008","12/14/2018" 
"Adam","HUANG","W","M",4,"111939","hr","3/7/2012","" 
"Peter","POTTER","J","M",6,"3X424401","acc","9/5/2006","" 
"Nathan","DELACRUZ","","M",6,"3X534894","proj","7/23/2015","" 
"Zachary","MONTOYA","G","M",4,"114227","comp","7/1/2011","" 
"Walter","TODD","G","M",5,"125523","acc","6/23/2012","" 
"Kyle","WU","A","M",6,"3X410521","pub","11/6/2004","" 
"Harold","HINES","P","M",7,"3X519768","fin","2/25/2009","" 
"Carl","MULLINS","F","M",7,"3X571124","comp","3/15/2003","" 
"Jeremy","CASTANEDA","J","M",7,"3X594915","I.T.","12/12/2003","" 
"Keith","MALONE","W","M",3,"72579","proj","2/2/2018","" 
"Roger","CANNON","F","M",7,"3X540583","comp","10/22/2011","" 
"Gerald","TATE","P","M",7,"3X604547","I.T.","1/5/2004","" 
"Ethan","MACK","W","M",7,"3X663161","comp","5/4/2004","12/11/2009" 
"Arthur","SHERMAN","J","M",2,"50817","hr","10/11/2018","" 
"Terry","HUBBARD","J","M",4,"113219","proj","8/7/2010","" 
"Christian","HODGES","","M",6,"3X417162","I.T.","11/28/2010","" 
"Sean","ZHANG","W","M",6,"3X534783","proj","1/11/2005","6/6/2006" 
"Lawrence","GUERRA","","M",2,"56471","pub","12/21/2016","" 
"Austin","WOLF","","M",4,"94251","comp","2/24/2010","" 
"Joe","VALENCIA","W","M",7,"3X530191","hr","10/23/2014","" 
"Noah","FRANCO","F","M",5,"130802","pub","2/13/2014","" 
"Jesse","SAUNDERS","","M",6,"3X401057","I.T.","9/16/2010","" 
"Albert","ROWE","","M",6,"3X406159","proj","7/6/2005","" 
"Bryan","GALLAGHER","","M",1,"29624","fin","10/8/2016","" 
"Billy","FARMER","W","M",4,"111782","fin","12/11/2017","" 
"Bruce","HAMMOND","","M",7,"3X661149","pub","12/29/2002","" 
"Willie","HAMPTON","","M",7,"3X656966","comp","7/9/2006","" 
"Jordan","TOWNSEND","G","M",3,"69403","hr","11/15/2016","" 
"Dylan","INGRAM","J","M",7,"3X596020","acc","9/26/2014","" 
"Alan","WISE","P","M",4,"103755","proj","12/3/2017","" 
"Ralph","GALLEGOS","","M",6,"3X410458","proj","8/26/2013","" 
"Gabriel","CLARKE","G","M",1,"27817","I.T.","7/26/2016","" 
"Roy","BARTON","F","M",2,"58417","I.T.","10/1/2016","" 
"Juan","SCHROEDER","","M",7,"3X572593","pub","3/21/2007","3/22/2013" 
"Wayne","MAXWELL","J","M",2,"62797","pub","12/21/2015","" 
"Eugene","WATERS","J","M",1,"22613","comp","6/6/2017","" 
"Logan","LOGAN","","M",3,"83541","hr","7/22/2016","" 
"Randy","CAMACHO","P","M",1,"39390","comp","1/5/2015","" 
"Louis","STRICKLAND","F","M",3,"75281","I.T.","6/9/2018","" 
"Russell","NORMAN","","M",7,"3X569166","proj","4/4/2003","" 
"Vincent","PERSON","G","M",5,"131399","comp","11/9/2009","" 
"Philip","COLON","W","M",7,"3X536342","I.T.","12/22/2012","6/18/2016" 
"Bobby","PARSONS","F","M",7,"3X569789","hr","5/28/2007","" 
"Johnny","FRANK","","M",3,"78207","hr","5/18/2016","" 
"Bradley","HARRINGTON","A","M",3,"85425","fin","4/11/2018","" 
"James","GLOVER","","M",3,"95314","comp","12/6/2016","" 
"John","OSBORNE","","M",5,"141543","hr","8/3/2011","" 
"Robert","BUCHANAN","","M",2,"58999","pub","12/18/2014","" 
"Michael","CASEY","P","M",5,"130798","I.T.","1/19/2017","" 
"William","FLOYD","W","M",6,"3X407212","I.T.","7/14/2006","" 
"David","PATTON","P","M",5,"136641","I.T.","4/16/2010","" 
"Richard","IBARRA","F","M",4,"109345","proj","10/19/2013","" 
"Joseph","BALL","A","M",1,"38818","pub","9/6/2017","" 
"Thomas","TYLER","F","M",2,"48083","acc","3/18/2016","" 
"Charles","SUAREZ","","M",7,"3X655783","acc","4/11/2004","" 
"Christopher","BOWERS","","M",1,"27667","comp","6/16/2016","" 
"Daniel","OROZCO","","M",2,"52524","comp","10/19/2016","" 
"Matthew","SALAS","J","M",7,"3X570439","acc","10/10/2012","" 
"Anthony","COBB","","M",7,"3X567122","I.T.","2/8/2012","" 
"Donald","GIBBS","F","M",6,"3X407858","proj","2/17/2013","" 
"Mark","ANDRADE","F","M",4,"102529","hr","9/26/2010","" 
"Paul","BAUER","","M",5,"138637","proj","8/29/2016","" 
"Steven","CONNER","P","M",1,"44736","I.T.","8/6/2017","" 
"Andrew","MOODY","W","M",6,"3X535238","comp","2/7/2005","5/1/2011" 
"Kenneth","ESCOBAR","W","M",1,"36894","hr","12/6/2016","" 
"Joshua","MCGUIRE","G","M",1,"25175","pub","1/31/2018","" 
"George","LLOYD","G","M",3,"71644","I.T.","1/17/2015","4/8/2019" 
"Kevin","MUELLER","W","M",2,"64176","hr","6/3/2015","" 
"Brian","HARTMAN","","M",5,"133390","pub","12/26/2016","" 
"Edward","FRENCH","F","M",2,"56507","hr","8/3/2015","" 
"Ronald","KRAMER","G","M",5,"139513","fin","5/21/2012","" 
"Timothy","MCBRIDE","J","M",4,"104098","comp","11/6/2012","7/18/2014" 
"Jason","POPE","","M",2,"62377","proj","1/27/2015","" 
"Jeffrey","LINDSEY","","M",2,"59630","proj","7/12/2018","" 
"Ryan","VELAZQUEZ","F","M",1,"24222","fin","11/3/2017","" 
"Jacob","NORTON","W","M",1,"39246","fin","11/18/2018","" 
"Gary","MCCORMICK","W","M",6,"3X418672","proj","9/18/2012","" 
"Nicholas","SPARKS","F","M",7,"3X559967","proj","7/12/2014","" 
"Eric","FLYNN","J","M",1,"39392","acc","9/6/2018","" 
"Stephen","YATES","","M",7,"3X641047","proj","4/29/2008","" 
"Jonathan","HOGAN","","M",4,"107359","fin","5/13/2010","" 
"Larry","MARSH","F","M",5,"139594","proj","8/2/2017","" 
"Justin","MACIAS","A","M",1,"27403","fin","10/16/2018","11/9/2019" 
"Scott","VILLANUEVA","W","M",4,"113036","acc","6/23/2016","" 
"Brandon","ZAMORA","","M",6,"3X410395","proj","10/6/2014","" 
"Frank","PRATT","","M",3,"94440","proj","1/24/2016","" 
"Benjamin","STOKES","","M",6,"3X538336","hr","2/16/2007","" 
"Gregory","OWEN","J","M",1,"30587","fin","2/23/2015","" 
"Samuel","BALLARD","","M",6,"3X422137","acc","12/3/2002","11/15/2019" 
"Raymond","LANG","F","M",6,"3X417648","fin","4/9/2003","" 
"Patrick","BROCK","A","M",7,"3X591586","comp","2/7/2013","" 
"Alexander","VILLARREAL","J","M",7,"3X674669","I.T.","6/9/2008","" 
"Jack","CHARLES","P","M",1,"25415","fin","4/11/2016","" 
"Dennis","DRAKE","G","M",3,"76459","comp","1/7/2015","" 
"Jerry","BARRERA","P","M",3,"75908","pub","9/19/2018","" 
"Tyler","CAIN","W","M",1,"31714","hr","10/14/2017","" 
"Aaron","PATRICK","J","M",1,"26931","fin","11/28/2016","" 
"Jose","PINEDA","P","M",3,"85579","I.T.","7/30/2016","" 
"Henry","BURNETT","","M",5,"142978","pub","3/13/2014","" 
"Douglas","MERCADO","J","M",7,"3X511054","acc","1/28/2013","7/12/2017" 
"Adam","SANTANA","W","M",4,"93143","hr","4/2/2016","" 
"Peter","SHEPHERD","","M",5,"130749","hr","3/2/2012","" 
"Nathan","BAUTISTA","","M",1,"26193","hr","3/24/2018","" 
"Zachary","ALI","","M",1,"30794","comp","4/7/2018","" 
"Walter","SHAFFER","J","M",4,"119503","fin","7/7/2017","" 
"Kyle","LAMB","","M",3,"79420","hr","3/9/2017","" 
"Harold","TREVINO","W","M",3,"75267","fin","1/2/2016","" 
"Carl","MCKENZIE","","M",3,"88143","comp","7/12/2017","" 
"Jeremy","HESS","J","M",4,"94499","I.T.","1/2/2011","" 
"Keith","BEIL","","M",4,"96973","hr","6/14/2013","" 
"Roger","OLSEN","","M",5,"119879","I.T.","6/8/2010","" 
"Gerald","COCHRAN","G","M",6,"3X424606","comp","11/1/2012","" 
"Ethan","MORTON","","M",3,"87087","acc","12/1/2016","8/2/2019" 
"Arthur","NASH","J","M",3,"97878","proj","5/19/2018","" 
"Terry","WILKINS","G","M",1,"24451","comp","9/20/2018","12/3/2018" 
"Christian","PETERSEN","F","M",6,"3X535832","comp","10/2/2007","" 
"Sean","BRIGGS","","M",7,"3X570680","acc","5/9/2009","" 
"Lawrence","SHAH","P","M",2,"67144","fin","12/23/2017","" 
"Austin","ROTH","J","M",1,"37003","I.T.","8/30/2015","" 
"Joe","NICHOLSON","","M",2,"62445","comp","10/13/2016","" 
"Noah","HOLLOWAY","G","M",3,"65698","pub","12/13/2014","" 
"Jesse","LOZANO","G","M",7,"3X537609","acc","7/20/2008","" 
"Albert","FLOWERS","P","M",2,"64877","I.T.","3/3/2015","" 
"Bryan","RANGEL","J","M",6,"3X537127","comp","9/2/2011","" 
"Billy","HOOVER","A","M",6,"3X499757","pub","11/2/2008","" 
"Bruce","ARIAS","","M",1,"29526","proj","4/13/2017","" 
"Willie","SHORT","","M",5,"143999","proj","3/4/2012","" 
"Jordan","MORA","","M",2,"46832","comp","12/30/2015","" 
"Dylan","VALENZUELA","F","M",2,"58343","comp","5/17/2015","" 
"Alan","BRYAN","G","M",4,"97783","acc","8/28/2010","" 
"Ralph","MEYERS","P","M",3,"86742","hr","5/23/2015","" 
"Gabriel","WEISS","","M",5,"129114","acc","9/8/2016","10/24/2019" 
"Roy","UNDERWOOD","W","M",5,"126675","comp","9/14/2013","" 
"Juan","BASS","F","M",5,"3X486985","I.T.","11/1/2012","" 
"Wayne","GREER","","M",6,"3X427638","acc","11/24/2013","" 
"Eugene","SUMMERS","A","M",6,"3X427561","comp","12/31/2003","6/17/2013" 
"Logan","HOUSTON","","M",4,"94920","proj","2/25/2012","" 
"Randy","CARSON","","M",1,"31974","hr","12/18/2015","" 
"Louis","MORROW","J","M",5,"125535","I.T.","3/8/2012","" 
"Russell","CLAYTON","","M",5,"117495","pub","1/3/2015","" 
"Vincent","WHITAKER","","M",5,"3X484226","proj","4/22/2015","" 
"Philip","DECKER","","M",1,"28461","pub","4/23/2017","" 
"Bobby","YODER","","M",6,"3X410280","I.T.","11/4/2011","" 
"Johnny","COLLIER","W","M",5,"116380","proj","6/2/2014","" 
"Bradley","ZUNIGA","","M",2,"48491","fin","12/20/2016","" 
"James","CAREY","G","M",5,"128309","I.T.","1/29/2011","2/12/2012" 
"John","WILCOX","F","M",6,"3X412642","hr","8/5/2004","" 
"Robert","MELENDEZ","A","M",3,"76109","pub","1/19/2017","" 
"Michael","POOLE","P","M",3,"78258","proj","2/14/2016","" 
"William","ROBERSON","W","M",7,"3X660587","hr","2/5/2009","" 
"David","LARSEN","P","M",2,"54142","I.T.","12/25/2014","" 
"Richard","CONLEY","F","M",5,"122812","pub","11/8/2015","10/13/2019" 
"Joseph","DAVENPORT","","M",4,"101870","hr","2/25/2010","" 
"Thomas","COPELAND","G","M",3,"76959","comp","6/15/2016","" 
"Charles","MASSEY","","M",2,"47466","comp","8/25/2018","" 
"Christopher","LAM","W","M",5,"136767","comp","1/7/2014","" 
"Daniel","HUFF","","M",7,"3X507344","acc","2/20/2009","" 
"Matthew","ROCHA","","M",6,"3X425969","proj","5/16/2004","8/26/2010" 
"Anthony","CAMERON","","M",4,"103988","acc","6/5/2011","" 
"Donald","JEFFERSON","A","M",6,"3X422235","fin","4/17/2005","7/31/2019" 
"Mark","HOOD","P","M",3,"72565","hr","9/27/2016","" 
"Paul","MONROE","F","M",7,"3X559859","acc","10/28/2012","" 
"Steven","ANTHONY","F","M",4,"91906","acc","10/12/2016","" 
"Andrew","PITTMAN","","M",5,"115423","proj","9/1/2014","" 
"Kenneth","HUYNH","W","M",4,"129566","acc","3/8/2010","" 
"Joshua","RANDALL","G","M",3,"96437","fin","4/25/2016","" 
"George","SINGLETON","A","M",4,"105349","I.T.","7/19/2012","" 
"Kevin","KIRK","W","M",2,"59707","comp","5/19/2015","" 
"Brian","COMBS","","M",7,"3X623265","proj","2/7/2012","" 
"Edward","MATHIS","","M",2,"47418","comp","11/20/2016","" 
"Ronald","CHRISTIAN","J","M",2,"45356","I.T.","12/1/2017","" 
"Timothy","SKINNER","A","M",7,"3X640121","acc","11/2/2010","" 
"Jason","BRADFORD","J","M",4,"107856","fin","7/31/2016","12/27/2016" 
"Jeffrey","RICHARD","","M",2,"47003","proj","12/29/2016","" 
"Ryan","GALVAN","F","M",4,"126928","I.T.","5/26/2012","" 
"Jacob","WALL","","M",7,"3X684724","proj","6/12/2004","5/3/2013" 
"Gary","BOONE","G","M",4,"108661","fin","10/21/2014","" 
"Nicholas","KIRBY","","M",6,"3X400086","comp","2/4/2008","12/28/2016" 
"Eric","WILKINSON","P","M",4,"99709","fin","10/29/2016","" 
"Stephen","BRIDGES","A","M",4,"98755","I.T.","3/10/2016","" 
"Jonathan","BRUCE","","M",6,"3X409140","hr","4/18/2003","" 
"Larry","ATKINSON","J","M",4,"106490","I.T.","10/6/2014","3/28/2016" 
"Justin","VELEZ","G","M",4,"108965","fin","6/26/2010","" 
"Scott","MEZA","F","M",5,"122637","I.T.","11/19/2012","" 
"Brandon","ROY","W","M",4,"96762","fin","11/22/2012","" 
"Frank","VINCENT","A","M",2,"67128","proj","2/14/2015","" 
"Benjamin","YORK","G","M",3,"75871","pub","6/12/2017","" 
"Gregory","HODGE","","M",6,"3X413133","fin","2/10/2005","" 
"Samuel","VILLA","W","M",4,"101211","fin","10/20/2016","" 
"Raymond","ABBOTT","","M",7,"3X654139","pub","12/28/2002","" 
"Patrick","ALLISON","G","M",6,"3X427516","proj","5/30/2008","" 
"Alexander","TAPIA","A","M",3,"89601","proj","9/1/2018","" 
"Jack","GATES","","M",3,"83095","acc","12/20/2017","" 
"Dennis","CHASE","","M",7,"3X509923","acc","12/31/2002","5/23/2014" 
"Jerry","SOSA","F","M",7,"3X511336","comp","4/8/2010","" 
"Tyler","SWEENEY","J","M",7,"3X681240","acc","4/27/2007","" 
"Aaron","FARRELL","","M",1,"24971","proj","1/28/2016","" 
"Jose","WYATT","","M",1,"36555","pub","5/26/2018","" 
"Henry","DALTON","","M",5,"129990","fin","4/26/2016","" 
"Douglas","HORN","P","M",1,"24994","pub","6/22/2016","5/21/2018" 
"Adam","BARRON","G","M",7,"3X666950","acc","4/29/2005","" 
"Peter","PHELPS","G","M",7,"3X555035","hr","10/25/2004","" 
"Nathan","YU","J","M",7,"3X546437","pub","8/22/2013","" 
"Zachary","DICKERSON","F","M",2,"64052","comp","10/19/2016","" 
"Walter","HEATH","J","M",1,"32482","comp","10/12/2016","" 
"Kyle","FOLEY","G","M",1,"39780","comp","3/23/2016","" 
"Harold","ATKINS","P","M",5,"115352","comp","9/12/2014","" 
"Carl","MATHEWS","A","M",4,"94318","proj","3/6/2012","" 
"Jeremy","BONILLA","P","M",4,"104643","pub","12/26/2015","" 
"Keith","ACEVEDO","A","M",6,"3X406173","hr","5/6/2007","" 
"Roger","BENITEZ","F","M",7,"3X662857","acc","11/29/2003","" 
"Gerald","ZAVALA","J","M",5,"132100","proj","6/9/2014","" 
"Ethan","HENSLEY","P","M",5,"146943","I.T.","5/29/2011","" 
"Arthur","GLENN","","M",7,"3X561896","proj","9/4/2004","11/12/2017" 
"Terry","CISNEROS","F","M",3,"70288","pub","8/18/2016","" 
"Christian","HARRELL","W","M",2,"44298","I.T.","5/31/2015","" 
"Sean","SHIELDS","","M",6,"3X408951","pub","2/21/2011","" 
"Lawrence","RUBIO","","M",6,"3X499553","acc","11/14/2011","" 
"Austin","CHOI","","M",4,"114045","hr","6/10/2017","" 
"Joe","HUFFMAN","G","M",1,"33030","comp","3/22/2016","" 
"Noah","BOYER","F","M",2,"51120","proj","10/8/2017","" 
"Jesse","GARRISON","G","M",2,"44124","proj","3/1/2017","" 
