,dept name,Name,hiredate
529,Project Management,"Yates, Stephen ",2008-04-29
530,Project Management,"Brooks, Willie ",2006-07-07
531,Project Management,"Rowe, Albert ",2005-07-06
532,Project Management,"Price, Eugene ",2004-08-10
533,Project Management,"Santos, David ",2004-05-04
534,Project Management,"Gardner, Diana ",2003-09-30
535,Project Management,"Norman, Russell ",2003-04-04
536,Public Relations,"Rosales, Jacob ",2018-10-13
537,Public Relations,"Robinson, Ryan A",2018-10-12
538,Public Relations,"Barrera, Jerry P",2018-09-19
539,Public Relations,"Franklin, Tyler J",2018-08-03
540,Public Relations,"Gilbert, Ethan ",2018-07-16
541,Public Relations,"Curry, Jonathan F",2018-07-06
542,Public Relations,"Wyatt, Jose ",2018-05-26
543,Public Relations,"Shaw, Frances A",2018-05-25
544,Public Relations,"Wells, Virginia F",2018-04-08
545,Public Relations,"Mcguire, Joshua G",2018-01-31
546,Public Relations,"Fuentes, Diana F",2017-11-29
547,Public Relations,"Le, Jesse F",2017-11-09
548,Public Relations,"James, Alan F",2017-11-01
549,Public Relations,"Gross, Brandon F",2017-09-18
550,Public Relations,"Ball, Joseph A",2017-09-06
551,Public Relations,"Chan, Edward ",2017-08-07
552,Public Relations,"York, Benjamin G",2017-06-12
553,Public Relations,"Hopkins, Carol ",2017-06-09
554,Public Relations,"Decker, Philip ",2017-04-23
555,Public Relations,"Schmidt, Theresa ",2017-03-27
556,Public Relations,"Spencer, Kayla F",2017-03-05
557,Public Relations,"Gonzales, Nancy F",2017-02-05
558,Public Relations,"Lowe, Shirley ",2017-01-19
559,Public Relations,"Melendez, Robert A",2017-01-19
560,Public Relations,"Hartman, Brian ",2016-12-26
561,Public Relations,"Guerra, Lawrence ",2016-12-21
562,Public Relations,"Lynch, Zachary J",2016-09-26
563,Public Relations,"Cisneros, Terry F",2016-08-18
564,Public Relations,"Banks, Logan ",2016-08-12
565,Public Relations,"Lucas, Ralph ",2016-07-09
566,Public Relations,"Hamilton, Donna F",2016-06-24
567,Public Relations,"Bryant, Laura P",2016-05-31
568,Public Relations,"Wheeler, Gregory ",2016-01-03
569,Public Relations,"Ferguson, Marilyn ",2015-12-29
570,Public Relations,"Bonilla, Jeremy P",2015-12-26
571,Public Relations,"Maxwell, Wayne J",2015-12-21
572,Public Relations,"Gray, Gabriel ",2015-11-18
573,Public Relations,"Harper, Raymond ",2015-10-31
574,Public Relations,"Rodriguez, Thomas J",2015-10-23
575,Public Relations,"Turner, Henry W",2015-08-28
576,Public Relations,"Walker, Jacob ",2015-08-21
577,Public Relations,"Wright, Stephen W",2015-06-03
578,Public Relations,"Bush, Jean ",2015-05-24
579,Public Relations,"Patel, Russell J",2015-03-16
580,Public Relations,"Wallace, Amanda G",2015-02-03
581,Public Relations,"Mendoza, Roy ",2015-02-02
582,Public Relations,"Taylor, Paul ",2015-01-04
583,Public Relations,"Clayton, Russell ",2015-01-03
584,Public Relations,"Buchanan, Robert ",2014-12-18
585,Public Relations,"Holloway, Noah G",2014-12-13
586,Public Relations,"Reyes, Walter ",2014-11-10
587,Public Relations,"Barker, Evelyn G",2014-07-30
588,Public Relations,"Fox, Julia A",2014-05-10
589,Public Relations,"Burnett, Henry ",2014-03-13
590,Public Relations,"Franco, Noah F",2014-02-13
591,Public Relations,"Yu, Nathan J",2013-08-22
592,Public Relations,"Figueroa, Sandra ",2013-06-26
593,Public Relations,"Young, Gary G",2013-06-24
594,Public Relations,"Jenkins, Patricia J",2013-06-22
595,Public Relations,"Pena, Timothy P",2012-08-09
596,Public Relations,"Thompson, Kevin A",2012-07-15
597,Public Relations,"Shields, Sean ",2011-02-21
598,Public Relations,"Carpenter, Jacob ",2010-01-17
599,Public Relations,"Watson, Bruce P",2009-12-30
600,Public Relations,"Hoover, Billy A",2008-11-02
601,Public Relations,"Simmons, Betty W",2008-05-22
602,Public Relations,"Stanley, Michelle ",2006-12-12
603,Public Relations,"Wilson, Anthony ",2006-09-18
604,Public Relations,"Williamson, Gerald F",2006-07-15
605,Public Relations,"Murray, Anna ",2006-05-06
606,Public Relations,"Horton, Megan F",2006-01-08
607,Public Relations,"Alexander, Kimberly F",2005-03-03
608,Public Relations,"Wu, Kyle A",2004-11-06
609,Public Relations,"Duncan, Daniel J",2004-10-16
610,Public Relations,"Ryan, Rose ",2004-06-10
611,Public Relations,"Higgins, Jane ",2003-08-09
612,Public Relations,"Leon, Olivia ",2003-07-02
613,Public Relations,"Lyons, Hannah ",2003-01-16
614,Public Relations,"Hammond, Bruce ",2002-12-29
615,Public Relations,"Abbott, Raymond ",2002-12-28
616,Public Relations,"Sanchez, Ronald ",2002-08-15
